0,1,2
-651.6168713569641,676.4594316482544,1100.3481149673462
-651.6146063804626,676.4571666717529,1100.3443002700806
-651.6177654266357,676.4684319496155,1100.344181060791
-651.6153812408447,676.4672994613647,1100.3409624099731
-651.6215801239014,676.4460802078247,1100.3327369689941
-651.5212059020996,677.2596836090088,1100.4693508148193
-648.5953330993652,678.5129308700562,1102.7849912643433
-611.3147139549255,689.8404359817505,1104.5693159103394
-551.4112710952759,719.4351553916931,1099.8880863189697
-495.9193170070648,729.3953895568848,1118.4803247451782
-420.2764928340912,735.660970211029,1167.834997177124
-375.1239776611328,758.8706612586975,1194.4679021835327
-371.1324632167816,756.1330199241638,1217.126727104187
-419.883668422699,797.9970574378967,1211.139440536499
-451.2062966823578,812.4052882194519,1190.4574632644653
-471.0470139980316,801.5479445457458,1181.6742420196533
-472.29450941085815,798.6785769462585,1181.2992095947266
-466.819703578949,791.4307713508606,1176.6859292984009
-393.7200605869293,708.9317440986633,1187.603235244751
-361.4300489425659,674.573004245758,1149.8137712478638
-387.399822473526,698.4061002731323,1087.599277496338
-416.82401299476624,691.475510597229,1053.6024570465088
-479.5137047767639,643.8847780227661,1053.8969039916992
-540.2256846427917,621.0041046142578,1052.7700185775757
-596.9312191009521,628.9228200912476,1048.5689640045166
-612.4333739280701,610.964298248291,1058.5676431655884
-603.8689613342285,600.0566482543945,1099.4983911514282
-587.2132778167725,576.1746168136597,1161.1398458480835
-529.6094417572021,589.9098515510559,1185.9618425369263
-471.2502956390381,622.5696206092834,1188.308596611023
-425.7156252861023,657.4167013168335,1183.6501359939575
-446.79173827171326,684.4502091407776,1140.6887769699097
-438.839316368103,665.4837131500244,1125.7743835449219
-428.1642436981201,654.1847586631775,1121.430516242981
-428.65198850631714,653.6190509796143,1123.3407258987427
-428.53665351867676,653.5819172859192,1123.2521533966064
-428.5343885421753,653.5803079605103,1123.273491859436
-428.52574586868286,653.626024723053,1123.2677698135376
-428.5271167755127,653.6065340042114,1123.2553720474243
-428.52312326431274,653.5862684249878,1123.2843399047852
